time,taker,case,base,quote,price,quantity
2022-10-11 23:22:47.300418,dcf91a667e073a39b972a4f02bdc682810e156247004ac3bcda88275dc8e983f,buy,Mango,USD Coin,0.0249,1003
2022-10-11 23:22:47.300418,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0246,406
2022-10-11 23:22:47.300418,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0246,406
2022-10-11 23:22:47.300418,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0246,406
2022-10-11 23:22:47.300418,Mango,sell,Mango,USD Coin,0.0216,383
2022-10-11 23:22:47.300418,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0246,278
2022-10-11 23:22:47.300418,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0248,1363
2022-10-11 23:22:47.300418,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0249,375
2022-10-11 23:21:12.087507,dantebriger.sol,sell,Mango,USD Coin,0.0208,452
2022-10-11 23:20:03.200232,Mango,sell,Mango,USD Coin,0.0214,8
2022-10-11 23:19:08.288137,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0238,251
2022-10-11 23:19:08.288137,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0238,419
2022-10-11 23:19:08.288137,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.024,167
2022-10-11 23:18:49.60687,903f28ab82e8198f8dfb4d59e78830091bb222be0ee8817e6751bdef8564a6e4,buy,Mango,USD Coin,0.0238,450
2022-10-11 23:18:49.60687,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0235,425
2022-10-11 23:18:49.60687,903f28ab82e8198f8dfb4d59e78830091bb222be0ee8817e6751bdef8564a6e4,buy,Mango,USD Coin,0.0235,604
2022-10-11 23:18:49.60687,903f28ab82e8198f8dfb4d59e78830091bb222be0ee8817e6751bdef8564a6e4,buy,Mango,USD Coin,0.024,423
2022-10-11 23:18:43.753145,09a2555107201310a50f8f49d835a3bc76ace756548159c5aa9cfb9a6c46ffc2,buy,Mango,USD Coin,0.0235,1029
2022-10-11 23:18:43.753145,09a2555107201310a50f8f49d835a3bc76ace756548159c5aa9cfb9a6c46ffc2,buy,Mango,USD Coin,0.0238,393
2022-10-11 23:18:38.319465,Mango,buy,Mango,USD Coin,0.0236,64
2022-10-11 23:18:38.319465,Mango,buy,Mango,USD Coin,0.0238,519
2022-10-11 23:15:22.611062,ea2d3b74755c459d0de360393bfd7c500757036399b629ff85849fff9c2baa7b,buy,Mango,USD Coin,0.0239,1185
2022-10-11 23:15:22.611062,ea2d3b74755c459d0de360393bfd7c500757036399b629ff85849fff9c2baa7b,buy,Mango,USD Coin,0.0238,630
2022-10-11 23:14:44.874067,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0237,63
2022-10-11 23:14:44.874067,Mango,sell,Mango,USD Coin,0.0198,185
2022-10-11 23:14:44.874067,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.023,65
2022-10-11 23:14:44.874067,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0236,213
2022-10-11 23:14:44.874067,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0237,171
