time,taker,case,base,quote,price,quantity
2022-10-12 00:00:12.803512,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0195,12
2022-10-12 00:00:02.113887,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0195,16
2022-10-12 00:00:02.113887,e9dbe1704f50f5ada909be739dc359549d6e5a04d36a557f9ce87bb02a02eb08,buy,Mango,USD Coin,0.0196,700
2022-10-12 00:00:02.113887,e0fa35bcfeac43e9b09247aca2a01e5314838a4e5eadc78e47af43f5b04485b6,buy,Mango,USD Coin,0.0196,357
2022-10-12 00:00:02.113887,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0195,512
2022-10-12 00:00:02.113887,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0195,16
2022-10-11 23:59:15.797078,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0201,81
2022-10-11 23:59:15.797078,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.02,499
2022-10-11 23:59:15.797078,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.02,418
2022-10-11 23:59:15.797078,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0201,497
2022-10-11 23:58:54.107381,54ca016558dcbcd60d94dd7c4ae1669c62c7be10ca9f8b8cb9a5bc03d2fe5e33,buy,Mango,USD Coin,0.0206,923
2022-10-11 23:58:54.107381,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0206,484
2022-10-11 23:58:54.107381,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0206,484
2022-10-11 23:58:54.107381,54ca016558dcbcd60d94dd7c4ae1669c62c7be10ca9f8b8cb9a5bc03d2fe5e33,buy,Mango,USD Coin,0.023,41
2022-10-11 23:58:48.083549,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0203,91
2022-10-11 23:58:48.083549,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0197,507
2022-10-11 23:58:48.083549,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0197,348
2022-10-11 23:58:48.083549,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.023,55
2022-10-11 23:58:42.447856,d8743f74e5ff26e44da7c7fd20d766a31a435721e6d9e44ed8f1315c9c71ffd9,buy,Mango,USD Coin,0.0203,674
2022-10-11 23:58:42.447856,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0196,509
2022-10-11 23:58:42.447856,e9dbe1704f50f5ada909be739dc359549d6e5a04d36a557f9ce87bb02a02eb08,buy,Mango,USD Coin,0.0196,355
2022-10-11 23:58:42.447856,e9dbe1704f50f5ada909be739dc359549d6e5a04d36a557f9ce87bb02a02eb08,buy,Mango,USD Coin,0.023,436
2022-10-11 23:58:42.447856,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0205,1219
2022-10-11 23:58:42.447856,54ca016558dcbcd60d94dd7c4ae1669c62c7be10ca9f8b8cb9a5bc03d2fe5e33,buy,Mango,USD Coin,0.0205,601
2022-10-11 23:58:42.447856,54ca016558dcbcd60d94dd7c4ae1669c62c7be10ca9f8b8cb9a5bc03d2fe5e33,buy,Mango,USD Coin,0.023,332
2022-10-11 23:58:42.447856,d8743f74e5ff26e44da7c7fd20d766a31a435721e6d9e44ed8f1315c9c71ffd9,buy,Mango,USD Coin,0.0199,1186
2022-10-11 23:58:42.447856,8e76bd1b52fcaf31aa30c7912bb8eddf63ae54e1e173b3724039a995fbf3deb1,buy,Mango,USD Coin,0.0203,465
2022-10-11 23:58:31.730095,09a2555107201310a50f8f49d835a3bc76ace756548159c5aa9cfb9a6c46ffc2,buy,Mango,USD Coin,0.0195,183
2022-10-11 23:58:31.730095,09a2555107201310a50f8f49d835a3bc76ace756548159c5aa9cfb9a6c46ffc2,buy,Mango,USD Coin,0.0197,787
2022-10-11 23:58:31.730095,09a2555107201310a50f8f49d835a3bc76ace756548159c5aa9cfb9a6c46ffc2,buy,Mango,USD Coin,0.0201,971
2022-10-11 23:58:31.730095,09a2555107201310a50f8f49d835a3bc76ace756548159c5aa9cfb9a6c46ffc2,buy,Mango,USD Coin,0.0202,765
2022-10-11 23:58:31.730095,09a2555107201310a50f8f49d835a3bc76ace756548159c5aa9cfb9a6c46ffc2,buy,Mango,USD Coin,0.0206,1049
2022-10-11 23:58:31.730095,09a2555107201310a50f8f49d835a3bc76ace756548159c5aa9cfb9a6c46ffc2,buy,Mango,USD Coin,0.0208,1563
2022-10-11 23:58:31.730095,09a2555107201310a50f8f49d835a3bc76ace756548159c5aa9cfb9a6c46ffc2,buy,Mango,USD Coin,0.0208,2107
2022-10-11 23:58:31.730095,09a2555107201310a50f8f49d835a3bc76ace756548159c5aa9cfb9a6c46ffc2,buy,Mango,USD Coin,0.021,1147
2022-10-11 23:58:31.730095,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.021,464
2022-10-11 23:58:31.730095,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.023,10
2022-10-11 23:58:25.900194,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0195,512
2022-10-11 23:58:20.715826,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0194,1
2022-10-11 23:58:20.715826,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0194,155
